"","FLUXNET_site_id","climate","MAE_mm","R2","mean_bias_error_mm","empirical_model","model_type","mean_AET_observation_mm"
"mbe","AU-ASM","Arid",10.3311194971876,0.199050980725168,10.3311194971876,"Abtew","actual_etp",0.986180432546158
"mbe1","AU-ASM","Arid",6.92751886011076,0.444680136308898,6.92745810879897,"BrutsaertStrickler","actual_etp",0.986180432546158
"mbe2","AU-ASM","Arid",4.80849558109644,0.107045919944924,4.80849558109644,"ChapmanAustralian","potential_etp",0.986180432546158
"mbe3","AU-ASM","Arid",4.97594759805693,0.459421858584715,4.97594759805693,"GrangerGray","actual_etp",0.986180432546158
"mbe4","AU-ASM","Arid",4.12201374106873,0.000991622378825792,4.10738783914274,"HargreavesSamani","reference_etp",0.986180432546158
"mbe5","AU-ASM","Arid",13.1786186661329,0.131450819070196,13.1786186661329,"JensenHaise","potential_etp",0.986180432546158
"mbe6","AU-ASM","Arid",5.76524035543908,0.055962293586311,5.74320284828721,"Linacre","actual_etp",0.986180432546158
"mbe7","AU-ASM","Arid",8.510464937082,0.16503829647609,8.510464937082,"Makkink","reference_etp",0.986180432546158
"mbe8","AU-ASM","Arid",5.24020394651179,0.326897609630288,5.24020394651179,"MattShuttleworth","reference_etp",0.986180432546158
"mbe9","AU-ASM","Arid",4.77174958761718,0.13286798317137,4.77174958761718,"McGuinnessBordne","potential_etp",0.986180432546158
"mbe10","AU-ASM","Arid",9.04071824837681,0.182998188047778,9.04071824837681,"Penman","potential_etp",0.986180432546158
"mbe11","AU-ASM","Arid",7.76915579301917,0.341052601286955,7.76915579301917,"PriestleyTaylor","potential_etp",0.986180432546158
"mbe12","AU-ASM","Arid",10.2799780915992,0.0245634872438458,10.2777887166176,"Romanenko","potential_etp",0.986180432546158
"mbe13","AU-ASM","Arid",7.63604647382163,0.129169151480767,6.56053028168026,"SzilagyiJozsa","actual_etp",0.986180432546158
"mbe14","AU-Lox","Arid",5.36669806247248,0.833610282832433,5.32929109687175,"Abtew","actual_etp",5.66391095670895
"mbe15","AU-Lox","Arid",3.33060226161499,0.775679291189357,3.25668875943062,"BrutsaertStrickler","actual_etp",5.66391095670895
"mbe16","AU-Lox","Arid",1.60103342412181,0.84579337059027,0.979882659770654,"ChapmanAustralian","potential_etp",5.66391095670895
"mbe17","AU-Lox","Arid",1.7296757903136,0.785464237965009,1.10498852514554,"GrangerGray","actual_etp",5.66391095670895
"mbe18","AU-Lox","Arid",1.97773877191165,0.486519962939685,-1.05591843964087,"HargreavesSamani","reference_etp",5.66391095670895
"mbe19","AU-Lox","Arid",5.81749496877301,0.706221536646357,5.81749496877301,"JensenHaise","potential_etp",5.66391095670895
"mbe20","AU-Lox","Arid",2.53775843475971,0.437061630000252,-1.85675686094781,"Linacre","actual_etp",5.66391095670895
"mbe21","AU-Lox","Arid",2.95908859499316,0.805824554549753,2.78229667392066,"Makkink","reference_etp",5.66391095670895
"mbe22","AU-Lox","Arid",1.50158765481294,0.800325280643488,0.543717415714731,"MattShuttleworth","reference_etp",5.66391095670895
"mbe23","AU-Lox","Arid",1.71539362478305,0.787878211904531,-0.792536387018908,"McGuinnessBordne","potential_etp",5.66391095670895
"mbe24","AU-Lox","Arid",3.66588626407065,0.871583161665914,3.65835585446266,"Penman","potential_etp",5.66391095670895
"mbe25","AU-Lox","Arid",3.28764724027652,0.83913904152342,3.26207633105836,"PriestleyTaylor","potential_etp",5.66391095670895
"mbe26","AU-Lox","Arid",2.70918315141035,0.475577846509649,1.81415594665058,"Romanenko","potential_etp",5.66391095670895
"mbe27","AU-Lox","Arid",6.80757898151185,0.148774463371711,1.10412155652278,"SzilagyiJozsa","actual_etp",5.66391095670895
"mbe28","AU-RDF","equat",10.4791635058791,0.408269319292231,10.4791635058791,"Abtew","actual_etp",1.76188853324505
"mbe29","AU-RDF","equat",9.83207817466826,0.49735588115004,9.83207817466826,"BrutsaertStrickler","actual_etp",1.76188853324505
"mbe30","AU-RDF","equat",3.21152515905785,0.263164709323608,3.19256223793054,"ChapmanAustralian","potential_etp",1.76188853324505
"mbe31","AU-RDF","equat",6.42967073691254,0.520489118656824,6.42967073691254,"GrangerGray","actual_etp",1.76188853324505
"mbe32","AU-RDF","equat",2.8128775140092,0.163500330205669,2.72619548267595,"HargreavesSamani","reference_etp",1.76188853324505
"mbe33","AU-RDF","equat",15.7598469606316,0.31488552379463,15.7598469606316,"JensenHaise","potential_etp",1.76188853324505
"mbe34","AU-RDF","equat",4.00544158221375,0.0560920799138249,3.89991266643861,"Linacre","actual_etp",1.76188853324505
"mbe35","AU-RDF","equat",8.97668159330323,0.358468257891943,8.97668159330323,"Makkink","reference_etp",1.76188853324505
"mbe36","AU-RDF","equat",6.45848874761628,0.477602697459872,6.45848874761628,"MattShuttleworth","reference_etp",1.76188853324505
"mbe37","AU-RDF","equat",4.73560512709058,0.358323118942761,4.73560512709058,"McGuinnessBordne","potential_etp",1.76188853324505
"mbe38","AU-RDF","equat",9.82914038887487,0.37435760097509,9.82914038887487,"Penman","potential_etp",1.76188853324505
"mbe39","AU-RDF","equat",9.58815403595495,0.473538617167754,9.58815403595495,"PriestleyTaylor","potential_etp",1.76188853324505
"mbe40","AU-RDF","equat",8.42618277447728,0.0510052766492832,8.42457380353516,"Romanenko","potential_etp",1.76188853324505
"mbe41","AU-RDF","equat",11.3029014083487,0.0363865388464258,8.71658279993653,"SzilagyiJozsa","actual_etp",1.76188853324505
"mbe42","AU-TTE","Arid",10.4343180194383,0.278522007546175,10.4343180194383,"Abtew","actual_etp",0.645838667342709
"mbe43","AU-TTE","Arid",6.36832160261938,0.482279415250409,6.36578165864488,"BrutsaertStrickler","actual_etp",0.645838667342709
"mbe44","AU-TTE","Arid",5.2790223639934,0.19765062934263,5.2790223639934,"ChapmanAustralian","potential_etp",0.645838667342709
"mbe45","AU-TTE","Arid",4.75877415001776,0.490289001023803,4.75877415001776,"GrangerGray","actual_etp",0.645838667342709
"mbe46","AU-TTE","Arid",4.65587382270543,0.0227628518583833,4.65490865959387,"HargreavesSamani","reference_etp",0.645838667342709
"mbe47","AU-TTE","Arid",13.7290687289396,0.22103121780868,13.7290687289396,"JensenHaise","potential_etp",0.645838667342709
"mbe48","AU-TTE","Arid",6.79146010463694,0.000200594999798388,6.79146010463694,"Linacre","actual_etp",0.645838667342709
"mbe49","AU-TTE","Arid",8.75230968517763,0.247731794243966,8.75230968517763,"Makkink","reference_etp",0.645838667342709
"mbe50","AU-TTE","Arid",5.2429392767762,0.395611297249813,5.2429392767762,"MattShuttleworth","reference_etp",0.645838667342709
"mbe51","AU-TTE","Arid",5.19697187278172,0.2374799143921,5.19697187278172,"McGuinnessBordne","potential_etp",0.645838667342709
"mbe52","AU-TTE","Arid",9.35670251691874,0.268183831610011,9.35670251691874,"Penman","potential_etp",0.645838667342709
"mbe53","AU-TTE","Arid",7.6435984834898,0.402838607675021,7.6435984834898,"PriestleyTaylor","potential_etp",0.645838667342709
"mbe54","AU-TTE","Arid",11.7407184040714,0.00405754383051643,11.7407184040714,"Romanenko","potential_etp",0.645838667342709
"mbe55","AU-TTE","Arid",6.68921223127868,0.308653812958297,6.27927595894759,"SzilagyiJozsa","actual_etp",0.645838667342709
"mbe56","AU-Wac","Temp",6.23516502364829,0.505323305705896,6.23516502364829,"Abtew","actual_etp",2.06092845555397
"mbe57","AU-Wac","Temp",4.17454247122636,0.376716664148547,4.08358297248791,"BrutsaertStrickler","actual_etp",2.06092845555397
"mbe58","AU-Wac","Temp",2.17428976899113,0.562471566688838,2.13399518051601,"ChapmanAustralian","potential_etp",2.06092845555397
"mbe59","AU-Wac","Temp",2.70561225501412,0.459380243980306,2.64511120225068,"GrangerGray","actual_etp",2.06092845555397
"mbe60","AU-Wac","Temp",0.769819745054813,0.445602737633773,0.281799969131899,"HargreavesSamani","reference_etp",2.06092845555397
"mbe61","AU-Wac","Temp",3.37780672941132,0.464083329018932,3.34790729682978,"JensenHaise","potential_etp",2.06092845555397
"mbe62","AU-Wac","Temp",0.776878064987712,0.4236392048712,-0.290895751835061,"Linacre","actual_etp",2.06092845555397
"mbe63","AU-Wac","Temp",3.42878791002118,0.51150166168977,3.42282743922816,"Makkink","reference_etp",2.06092845555397
"mbe64","AU-Wac","Temp",1.75424011035776,0.43842346389898,1.55551875578572,"MattShuttleworth","reference_etp",2.06092845555397
"mbe65","AU-Wac","Temp",1.03045408884884,0.464013267230207,0.68459819935161,"McGuinnessBordne","potential_etp",2.06092845555397
"mbe66","AU-Wac","Temp",3.90900364660064,0.579206896411439,3.89895523298177,"Penman","potential_etp",2.06092845555397
"mbe67","AU-Wac","Temp",3.88495818264032,0.498503315421982,3.85750828699728,"PriestleyTaylor","potential_etp",2.06092845555397
"mbe68","AU-Wac","Temp",1.32864487579661,0.444649653364888,0.671356049161177,"Romanenko","potential_etp",2.06092845555397
"mbe69","AU-Wac","Temp",6.17242441651743,0.0348968044759183,-2.64587232380856,"SzilagyiJozsa","actual_etp",2.06092845555397
"mbe70","AU-Wom","Temp",7.18996663402849,0.650263412743096,7.18996663402849,"Abtew","actual_etp",2.96863314865639
"mbe71","AU-Wom","Temp",6.10174324311986,0.573084972523072,6.06125845660115,"BrutsaertStrickler","actual_etp",2.96863314865639
"mbe72","AU-Wom","Temp",2.64609166300926,0.674016861668322,2.63587082358975,"ChapmanAustralian","potential_etp",2.96863314865639
"mbe73","AU-Wom","Temp",3.70265631492896,0.588481938611552,3.66571642813644,"GrangerGray","actual_etp",2.96863314865639
"mbe74","AU-Wom","Temp",0.801524064167815,0.491817653471089,0.0412102301841998,"HargreavesSamani","reference_etp",2.96863314865639
"mbe75","AU-Wom","Temp",5.32871064527547,0.617691154122668,5.3280751172039,"JensenHaise","potential_etp",2.96863314865639
"mbe76","AU-Wom","Temp",0.915760618881375,0.508006116384882,-0.512998931798333,"Linacre","actual_etp",2.96863314865639
"mbe77","AU-Wom","Temp",4.31251240536713,0.676741964154376,4.31251240536713,"Makkink","reference_etp",2.96863314865639
"mbe78","AU-Wom","Temp",2.64468076073765,0.653191860729824,2.57146885361169,"MattShuttleworth","reference_etp",2.96863314865639
"mbe79","AU-Wom","Temp",0.984255697570833,0.625647209714807,0.676750868851788,"McGuinnessBordne","potential_etp",2.96863314865639
"mbe80","AU-Wom","Temp",5.03404618449585,0.666284787786696,5.03083675663886,"Penman","potential_etp",2.96863314865639
"mbe81","AU-Wom","Temp",5.39420170930738,0.626706705495355,5.37685122504164,"PriestleyTaylor","potential_etp",2.96863314865639
"mbe82","AU-Wom","Temp",1.59687268452106,0.536705516307892,1.15344115038673,"Romanenko","potential_etp",2.96863314865639
"mbe83","AU-Wom","Temp",9.24907863925258,0.0537590927411244,-4.35136932187833,"SzilagyiJozsa","actual_etp",2.96863314865639
"mbe84","BE-Lon","Temp",7.13326340282384,0.72419666434285,7.13326340282384,"Abtew","actual_etp",1.40562587227107
"mbe85","BE-Lon","Temp",5.43292485455277,0.538864235033067,2.94147031704755,"BrutsaertStrickler","actual_etp",1.40562587227107
"mbe86","BE-Lon","Temp",4.16804690990735,0.632344584861496,4.16804690990735,"ChapmanAustralian","potential_etp",1.40562587227107
"mbe87","BE-Lon","Temp",3.30066376687806,0.566788017733334,2.02481699877251,"GrangerGray","actual_etp",1.40562587227107
"mbe88","BE-Lon","Temp",1.01362541785581,0.553676150409288,0.825346554930502,"HargreavesSamani","reference_etp",1.40562587227107
"mbe89","BE-Lon","Temp",5.17395536139665,0.550657078619776,5.16670279515439,"JensenHaise","potential_etp",1.40562587227107
"mbe90","BE-Lon","Temp",1.39139253737746,0.480241261434056,1.23178106836181,"Linacre","actual_etp",1.40562587227107
"mbe91","BE-Lon","Temp",4.41795931922749,0.637088493952221,4.41795931922749,"Makkink","reference_etp",1.40562587227107
"mbe92","BE-Lon","Temp",2.6389883789569,0.58050201282365,1.50690921163428,"MattShuttleworth","reference_etp",1.40562587227107
"mbe93","BE-Lon","Temp",1.44693085775464,0.506687995853558,1.36133821984201,"McGuinnessBordne","potential_etp",1.40562587227107
"mbe94","BE-Lon","Temp",3.83307208353524,0.593884155065499,2.67180998193586,"Penman","potential_etp",1.40562587227107
"mbe95","BE-Lon","Temp",4.50894973727884,0.563830488545914,2.72069323880856,"PriestleyTaylor","potential_etp",1.40562587227107
"mbe96","BE-Lon","Temp",1.09879405170032,0.566203557003823,0.949943566065587,"Romanenko","potential_etp",1.40562587227107
"mbe97","BE-Lon","Temp",6.08449735042966,0.175286909117282,-3.41730892709866,"SzilagyiJozsa","actual_etp",1.40562587227107
"mbe98","CA-Qfo","Cold",6.02178120818238,0.747585015271695,6.02178120818238,"Abtew","actual_etp",1.00521829067871
"mbe99","CA-Qfo","Cold",3.52934134097933,0.742664426786468,2.734033113791,"BrutsaertStrickler","actual_etp",1.00521829067871
"mbe100","CA-Qfo","Cold",2.51969008620745,0.787450411025631,2.51242411104697,"ChapmanAustralian","potential_etp",1.00521829067871
"mbe101","CA-Qfo","Cold",2.41037034704705,0.752248896235047,2.02752906542652,"GrangerGray","actual_etp",1.00521829067871
"mbe102","CA-Qfo","Cold",0.741644322890986,0.661387924638546,0.583118325542853,"HargreavesSamani","reference_etp",1.00521829067871
"mbe103","CA-Qfo","Cold",3.31518719620106,0.731817789519047,1.341988065573,"JensenHaise","potential_etp",1.00521829067871
"mbe104","CA-Qfo","Cold",1.23745480180687,0.667241112021758,0.413513844074294,"Linacre","actual_etp",1.00521829067871
"mbe105","CA-Qfo","Cold",2.74909738968522,0.774118698305128,2.74839361701695,"Makkink","reference_etp",1.00521829067871
"mbe106","CA-Qfo","Cold",1.82879165666936,0.763343701905488,1.41778848596934,"MattShuttleworth","reference_etp",1.00521829067871
