"","machine_learning_model","feature_set","FLUXNET_site_id","climate","IGBF","MAE_mm","R2","mean_bias_error_mm","mean_AET_observation_mm"
"1","extra_trees","{air_temp, atm_pressure, rel_humidity, soil_moisture, incoming_radiaiton}","AU-ASM","Arid","Savanna",0.55036238425198,0.688680156731569,0.0925909694132816,0.977104218366496
"2","extra_trees","{air_temp, atm_pressure, rel_humidity, soil_moisture, incoming_radiaiton}","AU-Lox","Arid","Forest",3.73004347832398,0.373429125455626,-3.6355780721001,5.66391095670895
"3","extra_trees","{air_temp, atm_pressure, rel_humidity, soil_moisture, incoming_radiaiton}","AU-RDF","Equatorial","Savanna",1.01272771082843,0.379817154963257,-0.0346274244622795,1.96860317649799
"4","extra_trees","{air_temp, atm_pressure, rel_humidity, soil_moisture, incoming_radiaiton}","AU-TTE","Arid","Grasslands",0.482030449772385,0.518423183320112,0.0500595852522245,0.661566096736985
"5","extra_trees","{air_temp, atm_pressure, rel_humidity, soil_moisture, incoming_radiaiton}","AU-Wac","Temperate","Forest",0.80939225815206,0.447232409167853,-0.60445877055641,1.98473624014452
"6","extra_trees","{air_temp, atm_pressure, rel_humidity, soil_moisture, incoming_radiaiton}","AU-Wom","Temperate","Forest",0.762467551107123,0.59727681225241,-0.485490958054629,2.45637833203942
"7","extra_trees","{air_temp, atm_pressure, rel_humidity, soil_moisture, incoming_radiaiton}","BE-Lon","Temperate","Cropland",0.51684803442443,0.759498768365005,0.10166441563667,1.36324774662484
"8","extra_trees","{air_temp, atm_pressure, rel_humidity, soil_moisture, incoming_radiaiton}","CA-Qfo","Cold","Forest",0.284214043901396,0.830658756417924,0.00108663121274419,1.00823975798328
"9","extra_trees","{air_temp, atm_pressure, rel_humidity, soil_moisture, incoming_radiaiton}","CA-SF3","Cold","Shrubland",0.319068204245658,0.804264920071682,-0.0399250527135062,1.00289121884882
"10","extra_trees","{air_temp, atm_pressure, rel_humidity, soil_moisture, incoming_radiaiton}","CH-Cha","Temperate","Grasslands",0.764128845093276,0.833952538986425,-0.707084877473781,2.03058468772694
"11","extra_trees","{air_temp, atm_pressure, rel_humidity, soil_moisture, incoming_radiaiton}","CN-Cng","Cold","Grasslands",0.645501112425077,0.7000612731305,-0.167796365402158,1.86852355816417
"12","extra_trees","{air_temp, atm_pressure, rel_humidity, soil_moisture, incoming_radiaiton}","DE-Gri","Temperate","Grasslands",0.431527689628482,0.922911801419795,-0.23020464138269,1.67317391319268
"13","extra_trees","{air_temp, atm_pressure, rel_humidity, soil_moisture, incoming_radiaiton}","ES-Amo","Arid","Shrubland",1.55186445646381,0.013357104322175,1.53414785033072,0.599181541934393
"14","extra_trees","{air_temp, atm_pressure, rel_humidity, soil_moisture, incoming_radiaiton}","FI-Hyy","Cold","Forest",0.374277187290983,0.851887249585684,-0.119034029323131,1.39973447504881
"15","extra_trees","{air_temp, atm_pressure, rel_humidity, soil_moisture, incoming_radiaiton}","FR-Gri","Temperate","Cropland",0.704123456595981,0.652030275994471,-0.426974996123909,1.96235598624734
"16","extra_trees","{air_temp, atm_pressure, rel_humidity, soil_moisture, incoming_radiaiton}","FR-LBr","Temperate","Forest",0.564906076950757,0.664027400203107,-0.176275781713964,1.91253068374344
"17","extra_trees","{air_temp, atm_pressure, rel_humidity, soil_moisture, incoming_radiaiton}","IT-CA1","Temperate","Forest",0.794565549789562,0.527381957185998,0.523678213687436,2.102900013934
"18","extra_trees","{air_temp, atm_pressure, rel_humidity, soil_moisture, incoming_radiaiton}","IT-SR2","Temperate","Forest",0.716770990479266,0.628898149422045,-0.160759175425102,1.98649337907342
"19","extra_trees","{air_temp, atm_pressure, rel_humidity, soil_moisture, incoming_radiaiton}","RU-Ha1","Cold","Grasslands",0.348227277643062,0.876161209225649,-0.125052677733013,1.74409289973497
"20","extra_trees","{air_temp, atm_pressure, rel_humidity, soil_moisture, incoming_radiaiton}","US-ARb","Temperate","Grasslands",0.922069643159604,0.732949622294759,0.37830438566533,1.85875801538339
"21","extra_trees","{air_temp, atm_pressure, rel_humidity, soil_moisture, incoming_radiaiton}","US-ARc","Temperate","Grasslands",1.00790976539483,0.635881271607283,0.0478406605833157,2.23411820789745
"22","extra_trees","{air_temp, atm_pressure, rel_humidity, soil_moisture, incoming_radiaiton}","US-Blo","Temperate","Forest",0.763992682053145,0.761719121080001,-0.500247842498313,2.83608497018655
"23","extra_trees","{air_temp, atm_pressure, rel_humidity, soil_moisture, incoming_radiaiton}","US-Lin","Arid","Cropland",0.604076448543373,0.583114986497261,0.429943474200063,1.79534947158349
"24","extra_trees","{air_temp, atm_pressure, rel_humidity, soil_moisture, incoming_radiaiton}","US-LWW","Temperate","Grasslands",0.844690257292459,0.685334195434737,0.779874193729268,1.29986527309634
"25","extra_trees","{air_temp, atm_pressure, rel_humidity, soil_moisture, incoming_radiaiton}","US-Oho","Cold","Forest",1.06733650655084,0.613344630445533,-0.461915706478582,1.82958744907314
"26","extra_trees","{air_temp, atm_pressure, rel_humidity, soil_moisture, incoming_radiaiton}","US-WCr","Cold","Forest",0.674277367780314,0.764971712132967,0.136391621933317,1.46453035818238
"27","extra_trees","{air_temp, atm_pressure, rel_humidity, soil_moisture, incoming_radiaiton}","ZM-Mon","Equatorial","Forest",0.85210230474416,0.537331007492157,-0.695011551827524,2.51205219177693
"28","extra_trees","{air_temp, atm_pressure, rel_humidity, incoming_radiaiton}","AU-ASM","Arid","Savanna",0.727918604553965,0.569311524284613,0.401610736382625,0.977104218366496
"29","extra_trees","{air_temp, atm_pressure, rel_humidity, incoming_radiaiton}","AU-Lox","Arid","Forest",3.80882249593317,0.148651560389073,-3.70603983754427,5.66391095670895
"30","extra_trees","{air_temp, atm_pressure, rel_humidity, incoming_radiaiton}","AU-RDF","Equatorial","Savanna",0.998829499953182,0.540323274092685,0.289117437053091,1.96860317649799
"31","extra_trees","{air_temp, atm_pressure, rel_humidity, incoming_radiaiton}","AU-TTE","Arid","Grasslands",0.717643617335002,0.404692639959836,0.440768346933789,0.661566096736985
"32","extra_trees","{air_temp, atm_pressure, rel_humidity, incoming_radiaiton}","AU-Wac","Temperate","Forest",0.876843936258874,0.334372551461881,-0.663991504778642,1.98473624014452
"33","extra_trees","{air_temp, atm_pressure, rel_humidity, incoming_radiaiton}","AU-Wom","Temperate","Forest",0.789762061569783,0.529708111935324,-0.463057286139971,2.45637833203942
"34","extra_trees","{air_temp, atm_pressure, rel_humidity, incoming_radiaiton}","BE-Lon","Temperate","Cropland",0.576409649922465,0.727234481829711,0.0804781503646407,1.36324774662484
"35","extra_trees","{air_temp, atm_pressure, rel_humidity, incoming_radiaiton}","CA-Qfo","Cold","Forest",0.293393049971,0.822095094134685,-0.0164724307375024,1.00823975798328
"36","extra_trees","{air_temp, atm_pressure, rel_humidity, incoming_radiaiton}","CA-SF3","Cold","Shrubland",0.323724802698498,0.798575841818951,-0.0554481361257161,1.00289121884882
"37","extra_trees","{air_temp, atm_pressure, rel_humidity, incoming_radiaiton}","CH-Cha","Temperate","Grasslands",0.722245860413884,0.82839802096751,-0.652542323425322,2.03058468772694
"38","extra_trees","{air_temp, atm_pressure, rel_humidity, incoming_radiaiton}","CN-Cng","Cold","Grasslands",0.766877540247843,0.711082255864947,-0.569165548120211,1.86852355816417
"39","extra_trees","{air_temp, atm_pressure, rel_humidity, incoming_radiaiton}","DE-Gri","Temperate","Grasslands",0.50601136708263,0.897559413997277,-0.252323684130176,1.67317391319268
"40","extra_trees","{air_temp, atm_pressure, rel_humidity, incoming_radiaiton}","ES-Amo","Arid","Shrubland",1.59382324920492,0.0295819877367472,1.55542714057995,0.599181541934393
"41","extra_trees","{air_temp, atm_pressure, rel_humidity, incoming_radiaiton}","FI-Hyy","Cold","Forest",0.43235105414485,0.815921038164754,-0.234572279396562,1.39973447504881
"42","extra_trees","{air_temp, atm_pressure, rel_humidity, incoming_radiaiton}","FR-Gri","Temperate","Cropland",0.737972099953824,0.648489056351794,-0.537704628632498,1.96235598624734
"43","extra_trees","{air_temp, atm_pressure, rel_humidity, incoming_radiaiton}","FR-LBr","Temperate","Forest",0.616869859244251,0.626310641379119,-0.299026958898144,1.91253068374344
"44","extra_trees","{air_temp, atm_pressure, rel_humidity, incoming_radiaiton}","IT-CA1","Temperate","Forest",0.781004971927925,0.356084491610505,-0.123470121114787,2.102900013934
"45","extra_trees","{air_temp, atm_pressure, rel_humidity, incoming_radiaiton}","IT-SR2","Temperate","Forest",0.770013983744638,0.660959623550117,-0.160173286171584,1.98649337907342
"46","extra_trees","{air_temp, atm_pressure, rel_humidity, incoming_radiaiton}","RU-Ha1","Cold","Grasslands",0.362307058333224,0.868302119570098,-0.199974538979761,1.74409289973497
"47","extra_trees","{air_temp, atm_pressure, rel_humidity, incoming_radiaiton}","US-ARb","Temperate","Grasslands",0.929929960145625,0.687105621655005,0.211110610575505,1.85875801538339
"48","extra_trees","{air_temp, atm_pressure, rel_humidity, incoming_radiaiton}","US-ARc","Temperate","Grasslands",0.997869779965694,0.637702010137427,0.0139825301089257,2.23411820789745
"49","extra_trees","{air_temp, atm_pressure, rel_humidity, incoming_radiaiton}","US-Blo","Temperate","Forest",1.01073403475808,0.620560488906828,-0.763850320298569,2.83608497018655
"50","extra_trees","{air_temp, atm_pressure, rel_humidity, incoming_radiaiton}","US-Lin","Arid","Cropland",0.771972584540418,0.14465393644332,-0.147218387721788,1.79534947158349
"51","extra_trees","{air_temp, atm_pressure, rel_humidity, incoming_radiaiton}","US-LWW","Temperate","Grasslands",0.818786522816078,0.679234661357464,0.744976205289538,1.29986527309634
"52","extra_trees","{air_temp, atm_pressure, rel_humidity, incoming_radiaiton}","US-Oho","Cold","Forest",1.09456909857086,0.621121604116513,-0.584941003561951,1.82958744907314
"53","extra_trees","{air_temp, atm_pressure, rel_humidity, incoming_radiaiton}","US-WCr","Cold","Forest",0.677841383857996,0.762928289324098,0.10712961403548,1.46453035818238
"54","extra_trees","{air_temp, atm_pressure, rel_humidity, incoming_radiaiton}","ZM-Mon","Equatorial","Forest",0.58471524274802,0.605839989951889,-0.177055654961376,2.51205219177693
"55","extra_trees","{air_temp, atm_pressure, rel_humidity}","AU-ASM","Arid","Savanna",0.926052881869892,0.329437298677887,0.580958091266345,0.977104218366496
"56","extra_trees","{air_temp, atm_pressure, rel_humidity}","AU-Lox","Arid","Forest",3.88801042387215,0.00142246478380106,-3.56077027057646,5.66391095670895
"57","extra_trees","{air_temp, atm_pressure, rel_humidity}","AU-RDF","Equatorial","Savanna",1.16825661304942,0.376303187188663,0.359109157255814,1.96860317649799
"58","extra_trees","{air_temp, atm_pressure, rel_humidity}","AU-TTE","Arid","Grasslands",0.989444150587977,0.164640988542043,0.712403730852428,0.661566096736985
"59","extra_trees","{air_temp, atm_pressure, rel_humidity}","AU-Wac","Temperate","Forest",0.807289906955276,0.360543278607377,-0.550219006174411,1.98473624014452
"60","extra_trees","{air_temp, atm_pressure, rel_humidity}","AU-Wom","Temperate","Forest",0.981631531293058,0.421150550686464,-0.744167593655787,2.45637833203942
"61","extra_trees","{air_temp, atm_pressure, rel_humidity}","BE-Lon","Temperate","Cropland",0.779109830608806,0.499725175724564,0.0669834487348287,1.36324774662484
"62","extra_trees","{air_temp, atm_pressure, rel_humidity}","CA-Qfo","Cold","Forest",0.350422448781835,0.736144038705208,-0.0539939357706997,1.00823975798328
"63","extra_trees","{air_temp, atm_pressure, rel_humidity}","CA-SF3","Cold","Shrubland",0.398734361815696,0.71274853183973,-0.00872549514161419,1.00289121884882
"64","extra_trees","{air_temp, atm_pressure, rel_humidity}","CH-Cha","Temperate","Grasslands",1.01057141535013,0.765259141620328,-0.962524277043623,2.03058468772694
"65","extra_trees","{air_temp, atm_pressure, rel_humidity}","CN-Cng","Cold","Grasslands",0.878155486555116,0.530011837678468,-0.468269191456548,1.86852355816417
"66","extra_trees","{air_temp, atm_pressure, rel_humidity}","DE-Gri","Temperate","Grasslands",0.750643138547538,0.743130564580664,-0.294174643223388,1.67317391319268
"67","extra_trees","{air_temp, atm_pressure, rel_humidity}","ES-Amo","Arid","Shrubland",1.7249653093795,0.0780551260815904,1.71313039527983,0.599181541934393
"68","extra_trees","{air_temp, atm_pressure, rel_humidity}","FI-Hyy","Cold","Forest",0.585572515997759,0.66701758510667,-0.262485945381346,1.39973447504881
